age,taille,poids,sport_licence,niveau_etude,region,smoker,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret,loyer_mensuel_missing,score_credit_missing,historique_credits_missing
19,175.0,62.5,non,1,Île-de-France,oui,4958,veuf,2.5068201193520885,0.19,574.7797217537943,5306.473283539622,500.0,1,1,1
31,190.0,63.5,oui,2,Corse,non,3001,veuf,2.5068201193520885,0.93,574.7797217537943,1270.84,786.595928525307,0,1,1
68,174.6,66.5,oui,4,Auvergne-Rhône-Alpes,oui,3758,veuf,2.5068201193520885,0.68,576.0,5306.473283539622,29093.676396627423,1,0,1
50,187.1,106.8,oui,3,Occitanie,non,3967,marié,2.5068201193520885,0.68,574.7797217537943,10000.0,7823.303925132546,0,1,1
42,169.7,63.4,oui,3,Provence-Alpes-Côte d’Azur,non,2091,veuf,3.0,0.92,574.7797217537943,5000.0,500.0,0,1,0
31,152.8,66.1,oui,4,Île-de-France,oui,5731,marié,2.5068201193520885,0.8,556.0,10000.0,24020.24395844216,0,0,1
54,195.0,84.4,non,0,Corse,oui,886,marié,2.5068201193520885,0.91,515.0,488.21,500.0,0,0,1
27,177.8,88.2,oui,4,Occitanie,non,1061,marié,2.5068201193520885,0.57,574.7797217537943,692.45,29425.13822833588,0,1,1
31,163.8,64.9,oui,4,Bretagne,oui,1540,veuf,3.0,0.9,818.0,5000.0,22143.694141361557,0,0,0
54,185.1,92.8,oui,3,Provence-Alpes-Côte d’Azur,non,3447,veuf,2.5068201193520885,0.09,574.7797217537943,10000.0,23381.42115415252,0,1,1
63,165.0,56.9,oui,0,Hauts-de-France,oui,1820,veuf,2.5068201193520885,0.43,404.0,5306.473283539622,500.0,1,0,1
68,165.0,52.8,oui,3,Normandie,oui,1684,marié,4.0,0.36,414.0,5000.0,4324.856803286908,0,0,0
73,176.6,51.3,oui,1,Bretagne,oui,2310,célibataire,2.5068201193520885,0.56,574.7797217537943,1094.79,500.0,0,1,1
35,181.1,63.5,non,0,Normandie,oui,4089,veuf,2.0,0.96,516.0,10000.0,500.0,0,0,0
25,172.1,82.2,non,1,Corse,oui,3387,marié,2.5068201193520885,0.0,511.0,5306.473283539622,500.0,1,0,1
40,166.6,64.4,non,4,Normandie,oui,2622,divorcé,2.5068201193520885,0.3,746.0,5000.0,500.0,0,0,1
25,187.4,43.0,non,3,Hauts-de-France,oui,3158,célibataire,3.0,0.42,574.7797217537943,5306.473283539622,500.0,1,1,0
34,160.0,84.2,non,0,Île-de-France,non,1959,célibataire,3.0,0.54,574.7797217537943,5000.0,10854.07936402302,0,1,0
65,166.5,72.5,oui,3,Occitanie,non,3385,célibataire,2.5068201193520885,0.84,659.0,605.13,13939.190884194722,0,0,1
48,171.0,50.1,non,1,Bretagne,oui,3074,veuf,2.5068201193520885,0.17,574.7797217537943,5000.0,500.0,0,1,1
44,163.2,62.4,oui,2,Occitanie,oui,3403,divorcé,2.5068201193520885,0.99,574.7797217537943,5306.473283539622,500.0,1,1,1
26,173.2,51.2,oui,0,Bretagne,oui,1824,célibataire,1.0,0.2,574.7797217537943,881.48,8454.336007043335,0,1,0
72,159.3,86.3,oui,0,Normandie,oui,4181,divorcé,2.5068201193520885,0.33,574.7797217537943,5000.0,7322.695420891237,0,1,1
55,180.5,99.2,non,3,Île-de-France,oui,500,marié,2.0,0.96,458.0,5000.0,6793.452284371787,0,0,0
50,180.5,65.7,non,1,Provence-Alpes-Côte d’Azur,oui,3322,veuf,2.5068201193520885,0.64,574.7797217537943,1200.45,500.0,0,1,1
28,186.2,62.2,non,1,Île-de-France,non,1447,veuf,5.0,0.4,809.0,10000.0,500.0,0,0,0
66,186.1,85.4,non,3,Hauts-de-France,oui,2886,divorcé,0.0,0.83,574.7797217537943,10000.0,500.0,0,1,0
72,154.5,53.2,oui,1,Corse,oui,2744,célibataire,2.5068201193520885,0.38,574.7797217537943,5000.0,500.0,0,1,1
19,171.2,56.0,non,4,Île-de-France,oui,1731,divorcé,2.5068201193520885,0.37,574.7797217537943,10000.0,7178.331807639605,0,1,1
74,179.0,53.9,oui,1,Provence-Alpes-Côte d’Azur,oui,867,marié,4.0,0.78,574.7797217537943,10000.0,10699.741376669954,0,1,0
51,169.1,71.5,oui,1,Hauts-de-France,oui,932,veuf,2.5068201193520885,0.86,692.0,5000.0,500.0,0,0,1
67,159.4,83.3,oui,3,Normandie,oui,1688,veuf,2.5068201193520885,0.52,574.7797217537943,5306.473283539622,12691.20933726451,1,1,1
30,164.8,60.8,non,3,Auvergne-Rhône-Alpes,non,4821,célibataire,2.5068201193520885,0.43,574.7797217537943,852.08,32406.363429223,0,1,1
